Plot,Month,Year,Ambrosia.psilostachya,Bouteloua.curtipendula,Bromus.inermis,Cirsium.arvense,Cirsium.vulgare,Convolvulus.arvensis,Dalea.purpurea,Helianthus.maximiliani,Linaria.vulgaris,Medicago.sativa,Melilotus.sp.,Panicum.capillare,Poa.pratensis,Ratibida.columnifera,Solidago.rigida,Taraxacum.officinale,Unknown.1,Unknown.2,Agropyron.cristatum,Amaranthus.blitoides,Artemisia.absinthium,Asclepias.sp.,Bouteloua.gracilis,Chenopodium.album,Cirsium.flodmanii,Euphorbia.geyeri,Oxalis.stricta,Setaria.viridis,Sonchus.sp.,Tragopogon.dubius,Unknown.3,Anemone.cylindrica,Artemesia.absinthium,Artemesia.annua,Echinacea.angustifolia,Elymus.repens,Galium.boreale,Helianthus.Pauciflorus,Liatris.punctata,Potentilla.arguta,Sonchus.arvensis
A,6.20,2020,0,0,31,2,0,1,0,1,0,0,0,2,57,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,6.21,2021,0,0,62,31,0,0,0,2,0,0,0,0,96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,1,0
A,7,2020,0,0,26,0,0,1,3,3,0,0,0,18,35,0,1,0,2,1,0,0,2,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A,8.20,2020,0,0,33,18,0,6,0,0,0,1,1,5,31,3,1,0,0,0,0,0,2,0,0,0,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
A,8.21,2021,0,6,86,13,1,0,0,5,5,0,0,0,79,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0
A,9,2020,0,0,27,7,0,4,0,6,3,2,0,5,18,0,0,0,0,0,0,0,5,0,0,2,3,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Multi,6.20,2020,0,0,46,0,0,5,0,0,0,0,8,1,14,0,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi,7,2020,0,0,27,0,0,3,3,6,0,8,2,9,7,1,2,0,0,0,0,0,11,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi,8.20,2020,9,0,29,8,0,10,0,0,0,16,4,11,11,0,0,0,0,0,0,0,38,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Multi,9,2020,14,0,36,5,0,2,0,2,0,7,2,9,2,0,0,0,0,0,0,0,21,5,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
B,6.20,2020,0,0,16,0,0,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,6.21,2021,0,0,72,50,0,0,1,0,0,0,5,3,37,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,7,2020,0,0,20,0,0,2,3,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,8.20,2020,0,0,27,5,0,5,0,0,0,2,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
B,8.21,2021,0,3,69,22,0,1,1,0,0,10,1,0,18,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
B,9,2020,0,0,23,11,0,3,0,3,0,6,0,1,11,3,0,0,0,0,0,1,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
C,6.20,2020,0,0,8,0,0,0,0,7,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,6.21,2021,2,0,54,34,0,0,0,2,0,0,2,0,242,3,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9
C,7,2020,0,0,3,0,0,2,3,2,0,0,1,0,60,2,0,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C,8.20,2020,0,0,24,14,0,4,0,0,0,6,0,0,51,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C,8.21,2021,2,4,71,22,0,0,0,6,0,2,1,0,133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
C,9,2020,0,4,20,18,0,1,0,9,0,1,1,1,30,4,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D,6.20,2020,0,0,38,1,0,0,1,4,0,0,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,6.21,2021,0,0,115,13,0,0,0,0,0,0,6,0,104,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,24
D,7,2020,0,0,50,9,0,1,1,2,0,4,0,1,32,1,0,1,0,0,0,0,2,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0
D,8.20,2020,0,0,65,17,1,4,0,0,0,1,1,0,22,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0
D,8.21,2021,0,0,135,3,0,2,0,10,0,7,2,0,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
D,9,2020,0,0,55,13,0,4,0,4,0,4,0,0,10,3,0,0,0,0,0,1,2,0,1,0,0,4,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0
E,6.20,2020,0,0,65,1,0,0,0,11,0,0,8,3,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E,6.21,2021,1,0,126,11,0,2,0,4,0,0,3,0,39,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,7,2020,0,0,65,2,0,0,1,9,0,4,0,1,20,0,5,0,0,0,0,1,1,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
E,8.20,2020,0,0,71,17,0,2,0,0,0,4,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
E,8.21,2021,0,6,140,4,0,0,0,7,0,5,1,0,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
E,9,2020,0,0,84,6,0,2,0,7,0,7,0,0,11,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Multi,6.21,2021,76,0,95,10,0,0,0,0,0,0,14,17,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0
Multi,8.21,2021,149,13,85,4,0,0,0,0,6,20,1,0,46,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,7,0,0,1,0,2
